id,provider,name,address,geometry,categories,city,country,postcode,mapbox_id
a1,Provider 2,Starbucks,138 West Ellendale Avenue,"{""coordinates"": [-123.31257629394531, 44.930686950683594], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,97338,dXJuOm1ieHBvaTpkOTZiZDM4MC1hMjg1LTQ2ZTEtYWVhYS1kNmM4ZGQzZDdlYjA
a2,Provider 2,McDonald's,8606 Skillman Street,"{""coordinates"": [-123.31257629394531, 44.930686950683594], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75243,dXJuOm1ieHBvaTo2NjBhZmMwOC1jNzVjLTRhOTQtODFlYi00Yzc4OGYxZDgyODA
a3,Provider 2,Starbucks,8655 Hiram Acworth Highway,"{""coordinates"": [-84.75482940673828, 34.00975036621094], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,30157,dXJuOm1ieHBvaTpjOTc4Y2NhMy0yODE5LTRlNWItODU4ZC02OTQ0MzQyOTAyMTc
a4,Provider 2,"Terminal, Dallas Love Field Airport (DAL);Dallas Love Field Terminal; DAL Terminal:KDAL Terminal",8008 Herb Kelleher Way,"{""coordinates"": [-96.84972381591797, 32.84442901611328], ""type"": ""Point""}",airport_terminal,Dallas,US,75235,dXJuOm1ieHBvaTo4NTYyMzdjYi1hMWUxLTRjMjQtOGViYy00ZjhjMTYwNWM1M2Y
b1,Provider 2,Costco,1715 Charles Hardy Parkway,"{""coordinates"": [-84.76396942138672, 33.920631408691406], ""type"": ""Point""}",shopping;wholesale_store,Dallas,US,30157,dXJuOm1ieHBvaTpjYzFmNjljNy0zMTQ1LTRlOTAtOTlhNy1hODM0YmY1M2UzNTQ
b2,Provider 2,Walgreens;Walgreens Pharmacy,303 Charlie Watts Drive,"{""coordinates"": [-84.82364654541016, 33.9081916809082], ""type"": ""Point""}",health_services;pharmacy;services,Dallas,US,30157,dXJuOm1ieHBvaTozZDU0YjBiNy1kYjlmLTQ4N2YtODc1Zi1jMmI3Y2RlNzEyMDg
b3,Provider 2,McDonald's,3036 Villa Rica Highway,"{""coordinates"": [-84.84228515625, 33.86784362792969], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,30132,dXJuOm1ieHBvaToxM2Q2Y2E4OC1jNDA2LTQ4NTItYWJiOS0xNDQxOWE3ZDY5NjM
b4,Provider 2,McDonald's,3026 North Hampton Road,"{""coordinates"": [-96.85602569580078, 32.779483795166016], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75212,dXJuOm1ieHBvaTpiNzU2OGYyMC1iNTUyLTRmZjgtOWY1NS0xNzMwMjVkMDMyOGY
c1,Provider 2,McDonald's,1808 South Beltline Road,"{""coordinates"": [-96.60086822509766, 32.6767463684082], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75253,dXJuOm1ieHBvaTo5YjIyMDk3Ny02OTQwLTRiYWItYTdlMC1jMmQ0Yjk2MDU0MGI
c2,Provider 2,Starbucks,10305 Ferguson Road,"{""coordinates"": [-96.67353820800781, 32.83521270751953], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75228,dXJuOm1ieHBvaTo3ZWE4MTJmNC0yM2E0LTQ1N2MtOWRlNy00Y2M3MWIxYmJhOTE
c3,Provider 2,McDonald's,8055 Great Trinity Forest Way,"{""coordinates"": [-96.68486022949219, 32.71302795410156], ""type"": ""Point""}",health_services;pharmacy;services,Dallas,US,75217,dXJuOm1ieHBvaTpjZGVhOGM2Zi1hNzZjLTQ5YjQtODJkMi02ZDk2NDkxZDMzNDY
c4,Provider 2,Starbucks,3701 West Northwest Highway,"{""coordinates"": [-96.8572006225586, 32.86225509643555], ""type"": ""Point""}",food;food_and_drink,Dallas,US,75220,dXJuOm1ieHBvaTowYzQ1YTU0NS1mN2E1LTRjMDMtOWMzOC0wNzRjYzFkMzIzNTQ
d1,Provider 2,McDonald's,11217 Garland Road,"{""coordinates"": [-96.68514251708984, 32.84833908081055], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75218,dXJuOm1ieHBvaTpkOWMxMGIzNS1lNzY4LTQ3MTgtOTQ1Mi1jMjA3NzcxMGFlYjY
d2,Provider 2,Walmart Supercenter,7401 Samuell Blvd,"{""coordinates"": [-96.6892318725586, 32.79380416870117], ""type"": ""Point""}",,Dallas,US,75228,dXJuOm1ieHBvaTo0Nzg3MGU5Ni04MWFjLTQ3YmUtODZmMS02MTQxNmExMDhkOWE
d3,Provider 2,McDonald's,7401 Samuell Boulevard,"{""coordinates"": [-96.6892318725586, 32.79380416870117], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75228,dXJuOm1ieHBvaTo1ODc5NmM5OS0zZGU2LTRiNDMtODg2OS0yMDVjODhiNjI1NWI
d4,Provider 2,McDonald's,2407 South Hampton Road,"{""coordinates"": [-96.85763549804688, 32.72160339355469], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75233,dXJuOm1ieHBvaTpiOTVlNWQ5ZC03ZmJkLTRhODgtODEwOC1iZTY3ZDhmMmNkYjM
e1,Provider 2,McDonald's,8117 East R L Thornton Freeway,"{""coordinates"": [-96.70097351074219, 32.794979095458984], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75228,dXJuOm1ieHBvaTplNDU1YWU2NC02MmViLTQxMjgtYTQ0ZC1jNmZkOTU3YzliYzg
e2,Provider 2,McDonald's,9403 Garland Road,"{""coordinates"": [-96.70368194580078, 32.833091735839844], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75218,dXJuOm1ieHBvaToyNDJmYzIxNS03NDhjLTRkOTAtOWEwYS1hZmZjMzc2ZjYyOWU
e3,Provider 2,Starbucks,8698 Skillman Street,"{""coordinates"": [-96.72046661376953, 32.89614486694336], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75243,dXJuOm1ieHBvaToyNjA5YjhlYy1lYTQwLTQxNWItYjdkYi03NmY5MGIwNmMzMWM
e4,Provider 2,McDonald's,8435 South Hampton Road,"{""coordinates"": [-96.85775756835938, 32.64457321166992], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75232,dXJuOm1ieHBvaTozNTVlNGFmZC0wYWY5LTQyZWYtOTgyMC1jOTAxOGFiNzQ5YzU
f1,Provider 2,Starbucks,7325 Gaston Avenue,"{""coordinates"": [-96.73017120361328, 32.811859130859375], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75214,dXJuOm1ieHBvaTo5ZjMyMWJlNC0zOWYzLTRhYWUtODBkNi1lZGYyODQ2ZTU5Y2Q
f2,Provider 2,Starbucks,7190 Skillman Street,"{""coordinates"": [-96.73441314697266, 32.877471923828125], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75231,dXJuOm1ieHBvaToxMDFjMmZmNC0zNjQ3LTQ1NzYtOWFmOS0xY2ZkYmQwNTUxMTU
f3,Provider 2,McDonald's,11820 Abrams Road,"{""coordinates"": [-96.73512268066406, 32.91001892089844], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75243,dXJuOm1ieHBvaToyZmFiMDlkYy1mZjM0LTRlNmUtYWI4Ny1kZjk5MjM1NTVlOTE
f4,Provider 2,Walmart Supercenter,18121 Marsh Ln,"{""coordinates"": [-96.85785675048828, 32.99508285522461], ""type"": ""Point""}",,Dallas,US,75287,dXJuOm1ieHBvaTplYzBhZDk5Mi04NjJlLTQyZGUtYjlkNC03OGY2N2EwZWU1YTE
g1,Provider 2,McDonald's,9301 Forest Lane,"{""coordinates"": [-96.7387924194336, 32.91074752807617], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75243,dXJuOm1ieHBvaTpjZTU1YWMwNi0yMDczLTRmNWItODQxNS1mODllMWIwOWJlZTM
g2,Provider 2,McDonald's,5934 Abrams Road,"{""coordinates"": [-96.74815368652344, 32.85737991333008], ""type"": ""Point""}",breakfast_restaurant;burger_restaurant;fast_food;food;food_and_drink;restaurant,Dallas,US,75231,dXJuOm1ieHBvaTo0YTZhNzMzZC02YjQyLTRlZDAtOWRjNy0xYzRiM2FjNWY1YTQ
g3,Provider 2,Walgreens;Walgreens Pharmacy,6520 East Northwest Highway,"{""coordinates"": [-96.74833679199219, 32.856014251708984], ""type"": ""Point""}",health_services;pharmacy;services,Dallas,US,75231,dXJuOm1ieHBvaTpiYjI0NTE1Mi0yMzEzLTRkZjctYWRlMy1jZDEwY2RmOWU1ZTU
g4,Provider 2,Big Thicket,430 East Lawther Drive,"{""coordinates"": [-96.85844421386719, 32.74260330200195], ""type"": ""Point""}",cafe;food;food_and_drink,,US,75218,dXJuOm1ieHBvaTplODM0ZjNlOS1iNzIyLTQxMzQtYTJhMi0zMDU2NmM0ZTg3ZmE
h1,Provider 2,Starbucks,6312 La Vista Drive,"{""coordinates"": [-96.7535629272461, 32.812278747558594], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75214,dXJuOm1ieHBvaTowMWJjNThlZS00YTgwLTRjMDctYmZmNC0yNDBhNWVmOGE4OGY
h2,Provider 2,Starbucks,6333 East Mockingbird Lane,"{""coordinates"": [-96.75450134277344, 32.83771514892578], ""type"": ""Point""}",bakery;cafe;coffee;coffee_shop;food;food_and_drink;teahouse,Dallas,US,75214,dXJuOm1ieHBvaTo1ZDM2Y2JlOC00NGE4LTRlOWYtOWRkMy01YWE5M2MyNTE4NDI
